JPEG_size,EDGE_DENSITY,SUBBAND_ENTROPY,FEATURE_CONGESTION,FIG_GROUND_CONTRAST,CONTOUR_CONGESTION,evaluation,general_difficulty,adaptive
107738,0.0136,2.4575,2.3782,0.6888,0.332,1,14,1
106075,0.0116,2.6109,2.3605,0.7044,0.4125,1,14,1
111316,0.0177,2.57,2.917,0.7525,0.4456,1,57,0
118512,0.0161,2.4229,2.2808,0.6956,0.4518,0,58,0
118530,0.0131,2.4553,2.4657,0.7962,0.4623,0,58,0
129851,0.0183,2.6047,2.3829,0.6681,0.4849,0,58,0
104884,0.0111,2.274,2.2404,0.685,0.4944,0,66,1
141622,0.0189,2.3851,3.1641,0.6653,0.519,0,28,0
147680,0.0204,2.6013,3.1409,0.6979,0.6132,0,28,0
118926,0.0167,2.2616,2.8696,0.6516,0.5657,1,13,0
143113,0.0194,2.9531,2.9576,0.6881,0.5599,1,20,0
118880,0.0159,2.3573,2.8469,0.7147,0.4513,0,20,0
95117,0.012,1.9843,2.0859,0.7034,0.5259,0,47,1
87007,0.0082,1.741,1.9652,0.7451,0.6347,0,47,1
141520,0.0219,2.5078,3.4001,0.6134,0.6664,1,24,0
119603,0.0231,2.6218,3.026,0.662,0.4453,0,37,0
134596,0.0184,2.4449,2.7039,0.7135,0.4626,0,28,0
103298,0.0083,2.8612,2.1644,0.8096,0.325,0,14,1
135740,0.0188,2.4759,2.9295,0.6736,0.5527,0,62,1
139086,0.0171,2.6746,2.8139,0.6905,0.6312,0,62,1
137475,0.0126,2.6974,2.7989,0.8037,0.4327,0,43,0
153945,0.0235,2.6204,3.6135,0.6895,0.6189,0,62,1
142273,0.0208,2.6422,2.7437,0.6739,0.5329,1,62,1
168957,0.0244,3.0921,2.7359,0.6745,0.5453,0,62,1
163041,0.0206,3.003,3.0052,0.6425,0.4265,0,62,1
126000,0.0121,2.7074,2.6136,0.8048,0.5226,0,34,1
135349,0.0147,2.6379,2.5032,0.782,0.4545,1,34,1
96672,0.0122,2.1177,2.2135,0.7131,0.5514,0,34,1
141372,0.02,2.8885,2.7717,0.7147,0.5562,0,62,1
143702,0.029,2.8677,4.154,0.6577,0.6077,1,55,1
104365,0.0119,2.2452,2.101,0.6707,0.602,0,47,1
136321,0.0188,2.4615,3.239,0.6998,0.5345,0,13,0
91753,0.0113,1.9514,2.1497,0.5858,0.5124,0,61,1
123298,0.0169,2.5836,2.4699,0.6853,0.5144,1,89,1
132870,0.0183,2.6277,2.8383,0.6683,0.567,1,89,1
143862,0.0171,2.8784,2.6934,0.6754,0.4727,0,61,1
143021,0.0196,2.8707,2.8773,0.7281,0.5691,1,89,1
120621,0.0186,2.3831,2.5114,0.6876,0.5669,1,35,1
192112,0.0275,3.093,3.0087,0.6823,0.4867,0,61,1
117225,0.0139,2.3845,2.3235,0.7218,0.603,0,61,1
135747,0.018,2.6049,2.5127,0.7002,0.5164,1,89,1
154421,0.0237,2.7241,2.8625,0.6583,0.6015,1,89,1
152086,0.0197,2.8066,2.8108,0.7438,0.4673,1,89,1
124076,0.0161,2.6994,2.5527,0.7572,0.4935,0,68,1
86461,0.0078,1.7682,2.1591,0.7869,0.436,0,41,1
94978,0.0117,1.8448,2.4391,0.6733,0.5729,1,41,1
115374,0.019,2.8394,2.7925,0.7412,0.4431,1,68,1
97571,0.0141,2.1715,2.471,0.6973,0.5324,1,54,0
109780,0.0131,2.4326,2.3717,0.7602,0.4596,1,29,0
90440,0.0097,2.1787,2.2733,0.7681,0.3294,0,28,1
119370,0.0167,2.5733,2.4309,0.6731,0.512,1,35,1
137492,0.0178,2.3555,2.7909,0.6949,0.5532,1,68,1
111580,0.0121,2.7508,2.5309,0.7955,0.4941,1,28,1
134733,0.018,2.8081,2.7596,0.7575,0.439,0,28,1
90795,0.012,2.3041,2.1779,0.6773,0.5611,0,28,1
131852,0.0157,2.606,2.6757,0.7815,0.4602,1,30,0
122734,0.0156,2.26,2.6809,0.6835,0.4747,1,30,0
159148,0.0186,2.7943,2.8906,0.7464,0.5011,1,67,1
150385,0.0173,2.7298,2.7653,0.7634,0.535,1,43,1
138287,0.0171,2.4436,2.7694,0.7223,0.528,0,77,1
119839,0.0223,2.7858,3.2352,0.625,0.5485,0,31,1
57277,0.0028,1.4313,1.6308,0.824,0.4161,1,59,0
69295,0.0071,1.6406,1.8693,0.5984,0.2587,1,59,0
62284,0.0056,1.4779,1.8119,0.6918,0.5436,1,59,0
62196,0.0038,1.385,1.6967,0.7964,0.4304,1,59,0
118008,0.0157,2.452,2.6121,0.681,0.4312,0,35,1
109621,0.0147,2.437,2.5291,0.6566,0.5178,0,35,1
104972,0.0105,2.4815,2.2801,0.7283,0.5274,0,35,1
113799,0.0105,2.6895,2.3789,0.7944,0.4748,1,35,1
104212,0.0107,2.4608,2.3148,0.7378,0.4919,1,35,1
120071,0.0125,2.5075,2.2905,0.7648,0.4252,0,35,1
107335,0.0092,2.6958,2.2216,0.7953,0.4698,1,35,1
144754,0.0206,2.9238,2.3998,0.6772,0.4339,0,35,1
112304,0.0145,2.3262,2.4322,0.7054,0.436,0,21,1
116912,0.0157,2.4049,2.5545,0.7472,0.4407,0,21,1
119119,0.0142,2.6544,2.4543,0.7918,0.3534,0,21,1
118607,0.0161,2.5226,2.6298,0.7352,0.3797,0,21,1
122875,0.0146,2.7672,2.6657,0.7261,0.4475,0,21,1
107687,0.0114,2.4083,2.3566,0.818,0.3881,0,21,1
85324,0.0101,1.8956,2.2461,0.6816,0.4812,1,21,1
97398,0.0127,2.3228,2.202,0.7365,0.3945,1,21,1
116620,0.0174,2.7089,2.6238,0.7241,0.5117,0,35,1
98835,0.0121,2.1042,2.263,0.7373,0.5319,1,21,1
107970,0.012,2.1608,2.3327,0.6551,0.5742,1,17,1
92037,0.0115,2.5797,2.4142,0.7252,0.5842,1,23,1
106861,0.0068,2.3253,2.2704,0.8507,0.377,0,21,1
99286,0.0092,2.2357,2.1732,0.8176,0.4598,0,21,1
102159,0.0143,2.0641,2.2746,0.7277,0.5576,0,21,1
128154,0.0167,2.4073,2.8009,0.7097,0.5058,1,63,1
90106,0.0099,2.1674,1.9117,0.7148,0.3605,0,21,1
94967,0.0106,2.3505,2.1598,0.6915,0.4427,0,21,1
99843,0.0113,2.0702,2.2713,0.7239,0.4218,1,21,1
82540,0.0066,2.2045,1.9745,0.7512,0.4607,1,19,0
171822,0.0247,3.0359,2.7341,0.6775,0.4927,1,63,1
144883,0.0198,2.9535,2.8042,0.7287,0.5751,0,63,1
108052,0.0115,2.4668,2.3133,0.7196,0.5881,0,21,1
114009,0.0097,2.4612,2.4318,0.8194,0.3362,1,27,0
127719,0.0147,2.701,2.4269,0.7524,0.5156,0,17,1
101608,0.0111,2.6375,2.1993,0.7929,0.4375,0,21,1
114505,0.0127,2.4763,2.2702,0.7628,0.4574,0,17,1
102715,0.0137,2.0883,2.6667,0.6506,0.6137,1,27,0
70823,0.0068,1.6336,1.8321,0.7917,0.6385,1,44,0
70290,0.0043,1.6332,1.7836,0.7915,0.4347,1,44,0
74514,0.0068,1.5677,1.9386,0.6704,0.579,1,44,0
102878,0.0132,2.2956,2.3499,0.7597,0.3774,0,27,0
50184,0.0017,1.1763,1.4885,0.8807,0.2154,1,43,0
120172,0.0153,2.6879,2.4449,0.7625,0.5077,1,34,1
86411,0.0069,2.1473,1.9715,0.847,0.2765,1,24,0
67927,0.0054,1.6708,1.9236,0.7302,0.3074,1,24,0
63618,0.0032,1.7231,1.7495,0.8509,0.4102,1,24,0
69971,0.0045,1.5645,1.8051,0.8597,0.2725,0,20,0
92121,0.0103,2.4049,2.212,0.7514,0.3719,1,14,1
114171,0.0131,2.3524,2.3974,0.6563,0.5399,0,66,1
57191,0.0069,1.6709,2.0167,0.7599,0.4791,1,57,0
63502,0.0088,2.0228,1.9974,0.7791,0.3548,1,57,0
77876,0.014,2.3727,2.3213,0.6874,0.5277,1,57,0
73999,0.0039,2.3002,2.0525,0.8861,0.1724,1,57,0
109956,0.0153,2.4383,2.3406,0.6835,0.4862,0,34,1
111005,0.011,2.5064,2.3508,0.7586,0.5266,0,47,1
59519,0.005,1.259,1.7348,0.6919,0.5397,0,43,0
128849,0.0162,2.619,2.7748,0.7413,0.5136,1,57,1
92988,0.0047,2.2858,2.0823,0.8446,0.2995,1,20,0
62080,0.0056,1.8841,1.743,0.7937,0.2551,1,20,0
62760,0.0028,1.6093,1.6298,0.8509,0.3212,1,20,0
77750,0.0066,2.3674,1.9682,0.7805,0.2146,1,20,0
72338,0.0074,1.7744,1.8507,0.765,0.4596,0,43,0
109348,0.0125,2.3851,2.4901,0.7238,0.4903,1,34,1
120438,0.0127,2.8394,2.4016,0.6744,0.3725,0,34,1
86171,0.0099,1.7055,2.2749,0.6645,0.6165,1,34,1
82551,0.007,2.2772,1.9543,0.7328,0.4525,0,24,0
121625,0.016,2.2438,2.6674,0.6785,0.5147,1,62,1
120883,0.0154,2.5617,2.4459,0.7144,0.4706,0,62,1
56136,0.0044,1.7551,1.8483,0.8016,0.1899,1,57,0
103453,0.0149,2.2111,2.4852,0.7031,0.6594,1,55,1
98801,0.0129,2.3902,2.4377,0.7052,0.5067,1,55,1
121524,0.013,2.5351,2.5655,0.7352,0.5157,1,57,1
121140,0.0101,2.6961,2.3554,0.7943,0.5132,1,57,1
95657,0.0088,2.2922,2.0972,0.8437,0.3542,0,71,0
78528,0.0061,1.9064,2.0254,0.7851,0.3747,0,71,0
112800,0.0127,2.2699,2.5518,0.7432,0.4067,0,21,1
87998,0.0084,1.8805,2.1003,0.7547,0.6433,1,34,1
79439,0.0094,1.696,2.1443,0.6715,0.4678,0,20,0
83960,0.0092,2.0352,1.8564,0.7105,0.3787,0,20,0
63544,0.0077,1.9014,1.9667,0.715,0.4545,0,57,0
53207,0.0072,1.9207,1.7628,0.6748,0.3718,1,57,0
80905,0.0073,1.8613,2.0506,0.7579,0.3852,1,14,1
80499,0.0062,1.7644,2.0882,0.8413,0.4889,1,24,0
91408,0.0107,2.0771,1.9804,0.7131,0.4772,0,24,0
103709,0.0116,2.2093,2.1131,0.677,0.6148,1,66,1
94767,0.0092,2.615,2.139,0.754,0.3089,1,20,0
101932,0.0108,2.4345,2.1936,0.7996,0.3416,1,24,0
101501,0.0118,2.5772,2.1567,0.7618,0.4099,0,57,1
119214,0.013,2.6055,2.3566,0.7698,0.4823,0,47,1
99613,0.0114,2.2324,2.1609,0.7442,0.4031,0,47,1
92545,0.0088,1.9227,2.2447,0.7907,0.5481,0,34,1
129096,0.0131,2.62,2.4265,0.8063,0.444,0,60,1
88337,0.008,2.3584,2.3377,0.8349,0.2894,1,57,0
95600,0.0086,2.3273,2.1655,0.8626,0.2932,0,20,0
91495,0.0114,2.0067,2.5079,0.7089,0.5828,1,20,0
109133,0.0116,2.4333,2.3744,0.8174,0.3928,1,71,0
102068,0.0119,2.6107,2.2852,0.7749,0.4107,0,21,1
99823,0.0134,2.1341,2.2549,0.7191,0.5317,0,21,1
97917,0.014,2.2503,2.4217,0.7147,0.5053,0,43,0
118455,0.0151,2.1401,2.689,0.6326,0.5445,0,60,1
104216,0.013,2.3779,2.0899,0.7052,0.4378,1,71,0
114390,0.0141,2.579,2.5602,0.7109,0.6053,1,34,1
109842,0.0139,2.1842,2.4454,0.6774,0.5604,0,34,1
105833,0.0108,2.4357,2.2741,0.823,0.3566,0,57,1
106841,0.0093,2.6673,2.2904,0.8263,0.3427,0,14,1
107568,0.0112,2.3207,2.3788,0.8389,0.4241,0,24,0
118488,0.0091,2.4295,2.4794,0.8485,0.3738,0,24,0
77540,0.0068,1.6591,1.954,0.7197,0.2457,1,24,0
104786,0.014,1.9666,2.5589,0.6507,0.6052,1,24,0
76402,0.0116,2.0611,2.1785,0.734,0.5684,1,37,0
71578,0.0115,1.8433,2.3214,0.6775,0.5022,1,57,0
66329,0.0089,1.9291,2.019,0.6611,0.4693,1,57,0
76195,0.0093,2.0588,2.2557,0.7738,0.3638,1,57,0
94092,0.0121,2.1859,2.1535,0.7144,0.4103,0,21,1
65755,0.0069,1.6963,1.8869,0.773,0.4482,1,13,0
81939,0.0038,2.2599,2.0515,0.8901,0.1714,1,13,0
69139,0.0055,2.1112,1.6641,0.7429,0.1927,1,58,0
67958,0.0039,1.7255,1.8537,0.8459,0.3554,1,58,0
66659,0.0087,1.9152,1.6979,0.6479,0.3011,0,58,0
81777,0.0059,2.2572,1.8885,0.8584,0.208,0,58,0
84631,0.008,1.8648,2.1701,0.7746,0.365,1,14,1
93796,0.0132,2.36,2.1944,0.6521,0.4894,1,14,1
91392,0.0095,2.1653,1.846,0.7618,0.3876,1,24,0
111803,0.013,2.4586,2.3771,0.8133,0.4311,0,43,0
97067,0.0144,1.9615,2.6481,0.6489,0.6761,1,55,1
91948,0.0155,2.2886,2.6062,0.7457,0.5125,1,37,0
84935,0.0103,2.1131,2.4858,0.825,0.4038,1,37,0
116788,0.0108,2.6694,2.423,0.7987,0.4808,0,34,1
105513,0.0134,2.0062,2.6357,0.6806,0.5767,0,43,0
98619,0.0114,2.1329,1.9721,0.737,0.4813,0,43,0
118389,0.0127,2.6057,2.4534,0.7467,0.5222,0,28,0
86927,0.0087,1.6677,2.1458,0.7057,0.5292,1,28,0
91983,0.011,2.0573,2.0691,0.7379,0.4203,1,28,0
70264,0.0078,1.8961,2.2273,0.7739,0.4449,0,57,0
64209,0.0064,1.4699,1.8169,0.7018,0.5028,1,58,0
62784,0.0065,1.8473,1.7496,0.7666,0.2593,1,58,0
98733,0.0103,1.7871,2.1003,0.7048,0.6194,0,60,1
55674,0.0023,1.3713,1.6173,0.8121,0.2341,1,13,0
69909,0.0099,1.8727,1.8002,0.6802,0.5425,0,13,0
64457,0.0061,1.5935,1.9509,0.7155,0.3422,1,13,0
111463,0.0103,2.7793,2.3491,0.8023,0.4028,1,21,1
110973,0.0108,2.2678,2.2818,0.7959,0.4553,0,47,1
87516,0.0082,1.604,2.0128,0.7329,0.5055,0,47,1
121057,0.0164,2.5764,2.5473,0.7287,0.4807,1,57,1
106127,0.0135,2.2472,2.366,0.7308,0.5268,1,57,1
90351,0.0111,1.7262,2.3221,0.6754,0.6751,1,57,1
110565,0.0096,2.6336,2.3354,0.824,0.4585,1,57,1
82604,0.009,1.8132,2.0441,0.7708,0.5099,1,13,0
103169,0.012,2.3997,2.2427,0.7809,0.4212,0,21,1
118309,0.0125,2.8105,2.3993,0.7051,0.3106,0,21,1
114836,0.0124,2.5903,2.4331,0.7317,0.553,0,34,1
115861,0.0135,2.4018,2.4758,0.7934,0.4705,0,20,0
94965,0.013,1.9891,2.4866,0.6674,0.6061,0,20,0
90413,0.0098,1.7843,2.1078,0.6941,0.5018,0,20,0
83029,0.0082,1.9025,2.1633,0.7979,0.2228,0,14,1
100312,0.0132,2.0346,2.5983,0.6648,0.5103,0,24,0
106669,0.0119,2.1948,2.0915,0.7557,0.4965,0,24,0
87382,0.0101,1.9237,2.1242,0.7369,0.4084,1,14,1
144014,0.0214,2.7412,3.0918,0.6684,0.5848,0,62,1
97172,0.0092,2.1905,2.0606,0.7456,0.4801,1,47,1
99343,0.0105,2.1621,2.1964,0.6822,0.536,0,47,1
78600,0.0129,2.2738,2.2091,0.6679,0.36,1,37,0
159818,0.0207,2.8656,2.4842,0.6811,0.4336,0,60,1
83679,0.0071,1.9324,2.0343,0.8279,0.2779,1,13,0
100813,0.0115,2.1587,2.2364,0.7339,0.5156,0,66,1
101197,0.0062,2.2781,2.2368,0.869,0.2742,0,58,0
111493,0.014,2.4946,2.3277,0.7423,0.525,0,21,1
105875,0.0128,2.3605,2.1802,0.7097,0.5007,0,60,1
164866,0.0219,3.1787,2.4888,0.6802,0.4725,0,60,1
89145,0.0111,1.8768,2.2898,0.6376,0.6131,0,21,1
116202,0.0107,2.7314,2.4583,0.841,0.4416,0,21,1
107936,0.0128,2.268,2.4798,0.7374,0.4561,0,14,1
95573,0.0111,2.2958,2.336,0.6822,0.4194,0,43,0
96755,0.0095,1.8395,2.0866,0.7453,0.3641,0,28,0
161045,0.0215,2.9087,2.526,0.6753,0.4191,0,47,1
124430,0.0112,2.5163,2.6798,0.831,0.4222,1,20,0
106068,0.0144,2.2332,2.3729,0.7262,0.5703,1,24,0
115093,0.0162,2.4189,2.7479,0.739,0.5313,0,24,0
117223,0.0134,2.5995,2.4535,0.7181,0.5858,1,34,1
129489,0.0143,2.5504,2.4555,0.7707,0.4316,1,34,1
93457,0.0106,2.291,2.0343,0.6743,0.5359,1,34,1
114809,0.0149,2.2662,2.4839,0.7127,0.6867,0,60,1
91551,0.009,2.4034,2.1326,0.7633,0.4783,0,13,0
70713,0.0073,1.7086,1.9054,0.696,0.4565,1,58,0
108072,0.0156,2.4765,2.9986,0.7856,0.4457,1,37,0
103799,0.0187,2.6352,2.8831,0.6692,0.5214,1,37,0
87249,0.0127,2.3076,2.4091,0.6972,0.4191,0,37,0
116931,0.0131,2.5754,2.4712,0.7283,0.6516,0,57,1
105631,0.0212,2.535,3.0354,0.6786,0.6593,0,57,0
88261,0.0139,2.3315,2.4646,0.7773,0.4268,0,57,0
115456,0.0154,2.2001,2.5266,0.6976,0.6492,0,66,1
89690,0.0117,1.7309,2.3043,0.6666,0.6135,1,13,0
90747,0.009,1.9501,2.2934,0.7062,0.3827,0,20,0
122675,0.0149,2.4895,2.5545,0.7681,0.4547,1,71,0
82357,0.0109,1.9808,2.2947,0.7208,0.3234,0,37,0
168259,0.0221,2.9036,2.5452,0.6834,0.426,0,66,1
68408,0.007,1.9997,1.7928,0.6667,0.4035,0,58,0
90374,0.0091,1.9897,2.2364,0.7766,0.2687,1,58,0
86379,0.0116,2.0789,2.0031,0.7054,0.4416,0,13,0
105734,0.0153,2.2455,2.7578,0.5984,0.5658,1,24,0
111089,0.012,2.1234,2.577,0.7671,0.5347,1,24,0
108571,0.0181,2.7843,2.8773,0.7084,0.5884,0,57,0
109565,0.0208,2.2969,3.3485,0.6425,0.7147,1,57,0
162483,0.0232,3.1051,3.0716,0.7544,0.4917,0,62,1
127135,0.0174,2.2634,3.0403,0.6238,0.6624,0,62,1
100056,0.0127,2.1582,2.2805,0.7572,0.5358,0,34,1
105419,0.0132,1.9038,2.321,0.7054,0.7114,0,34,1
93585,0.0128,2.2021,2.6588,0.8083,0.4621,1,57,0
105698,0.0161,2.1971,2.2874,0.6531,0.4125,0,43,0
112880,0.0148,2.4074,2.2721,0.6835,0.5548,0,62,1
106111,0.0112,1.9648,2.3897,0.7602,0.4878,0,43,0
134127,0.0163,2.9122,2.586,0.6833,0.3627,1,14,1
91922,0.0105,1.9977,2.1738,0.7313,0.3812,1,14,1
85553,0.0078,1.8525,2.1105,0.777,0.4026,1,58,0
90404,0.0095,2.0668,2.1438,0.7865,0.4898,0,13,0
112282,0.0212,2.5591,3.1784,0.7035,0.6131,1,57,0
101672,0.0123,2.1739,2.0575,0.713,0.4531,0,13,0
136129,0.0159,2.5205,2.5633,0.7684,0.5007,1,28,0
129781,0.0175,2.8082,2.7391,0.6981,0.4379,0,34,1
105409,0.0156,2.3241,3.0057,0.774,0.4753,0,37,0
102625,0.0109,2.2384,2.0709,0.6733,0.6244,0,66,1
99569,0.0127,2.3011,2.1582,0.6561,0.4635,0,14,1
104476,0.0112,2.0925,2.3685,0.7452,0.5723,1,14,1
93998,0.0112,2.0691,2.5944,0.7234,0.4655,1,14,1
109206,0.0102,2.8423,2.2795,0.7977,0.4067,1,14,1
115565,0.0169,2.3535,2.1188,0.682,0.4514,0,20,0
94813,0.01,2.0927,2.0879,0.6882,0.5224,0,47,1
99814,0.0145,2.4292,2.3575,0.7184,0.5177,1,55,1
142188,0.0196,2.7986,2.8849,0.7081,0.5262,1,24,0
127035,0.0186,2.5251,2.8931,0.6936,0.5688,0,24,0
120172,0.0134,2.5512,2.4936,0.8273,0.4479,1,24,0
123796,0.0178,2.4649,2.7482,0.6748,0.5272,0,24,0
99614,0.0153,2.3462,2.7849,0.7366,0.381,0,57,0
87562,0.0082,1.9104,2.2085,0.7979,0.4415,1,14,1
83094,0.0074,2.0293,2.0983,0.8182,0.2788,0,14,1
118855,0.0123,2.3979,2.3739,0.7041,0.6371,0,60,1
104448,0.0118,1.9579,2.502,0.6378,0.5674,0,60,1
114985,0.0154,2.1466,2.4868,0.708,0.7105,0,60,1
119338,0.0167,2.1898,2.939,0.6437,0.5678,1,34,1
116696,0.0153,2.6732,2.4521,0.7266,0.4691,0,57,1
117954,0.0141,2.2433,2.8067,0.7489,0.4567,0,71,0
116117,0.0166,2.4004,2.5755,0.713,0.4792,0,71,0
110045,0.0156,2.2917,2.4719,0.7052,0.5267,0,24,0
126521,0.0161,2.3778,2.7554,0.7121,0.4581,0,24,0
84286,0.008,1.5181,2.0166,0.6867,0.6166,0,47,1
109202,0.0155,2.4485,2.7097,0.7274,0.4468,1,14,1
100381,0.0116,2.233,2.1217,0.6769,0.6406,1,34,1
113058,0.0162,2.3503,2.5386,0.7095,0.4816,0,43,0
132775,0.0185,2.7718,2.7538,0.7058,0.5328,0,43,0
114490,0.0151,2.1098,2.82,0.714,0.535,1,20,0
126015,0.0165,2.6244,2.5394,0.7101,0.4976,0,62,1
95920,0.0101,2.028,2.3745,0.7063,0.3995,1,14,1
94717,0.012,2.0794,2.3584,0.6732,0.3754,1,14,1
109893,0.0142,2.2227,2.7522,0.6763,0.3929,1,24,0
127698,0.011,2.5415,2.6378,0.8246,0.406,0,24,0
111343,0.0137,2.7168,2.3621,0.7569,0.4656,1,34,1
130675,0.0147,2.8994,2.5578,0.6767,0.4588,0,34,1
124947,0.0165,2.3506,2.6958,0.7324,0.6001,0,20,0
110136,0.0165,2.2844,2.3254,0.6623,0.4259,0,20,0
117962,0.0152,2.4241,2.2219,0.698,0.5092,1,24,0
136237,0.0195,2.4231,3.258,0.6716,0.5517,1,24,0
129657,0.0193,2.6346,2.8803,0.6799,0.5264,1,24,0
135261,0.0167,2.6093,2.7612,0.7818,0.5112,1,24,0
99897,0.0112,1.8832,2.2265,0.7069,0.6754,0,34,1
115280,0.0084,2.4341,2.3862,0.8154,0.4425,1,34,1
116493,0.0119,2.5967,2.2716,0.7829,0.3698,1,14,1
144378,0.017,2.6427,2.7071,0.7737,0.4866,0,28,0
104982,0.0138,2.257,2.2519,0.7021,0.5981,0,34,1
124599,0.0165,2.4526,2.254,0.724,0.4456,1,24,0
130158,0.017,2.3932,2.6825,0.6232,0.6239,0,60,1
132202,0.0157,2.6508,2.6652,0.8073,0.4171,0,43,0
119007,0.0152,2.3532,2.3716,0.6573,0.5814,1,60,1
94998,0.0122,1.9433,2.5627,0.7151,0.5576,1,14,1
110697,0.015,2.4698,2.32,0.7288,0.5165,1,14,1
147306,0.0201,2.8824,2.9016,0.7264,0.59,0,62,1
125990,0.017,2.5909,2.4901,0.6686,0.6067,0,62,1
155529,0.0203,2.8653,3.0397,0.7052,0.5221,0,28,0
113856,0.0144,2.1151,2.4358,0.7022,0.6813,0,57,1
138234,0.0173,2.8983,2.857,0.6949,0.5284,0,71,0
120077,0.0153,2.3533,2.5324,0.7177,0.6535,0,57,1
132657,0.0179,2.7455,2.8214,0.7258,0.4973,1,24,0
95694,0.01,1.8724,2.0637,0.7431,0.6269,0,47,1
160067,0.0227,3.0847,2.6043,0.6959,0.3882,1,14,1
134872,0.0177,2.615,2.8034,0.685,0.5719,0,62,1
107352,0.0124,2.1722,2.2267,0.7262,0.5934,0,66,1
94794,0.0116,1.9215,2.3928,0.6935,0.4286,1,14,1
98036,0.0128,2.2463,2.1318,0.7098,0.4987,0,14,1
130061,0.0253,2.6754,3.7733,0.6617,0.6493,0,37,0
131950,0.0194,2.619,2.8951,0.6454,0.5429,1,20,0
118337,0.0161,2.1886,2.6645,0.7278,0.601,0,20,0
108170,0.0111,2.3214,2.3036,0.8051,0.5354,1,34,1
116333,0.0109,2.6962,2.3844,0.7863,0.5176,0,34,1
98678,0.0131,2.5178,2.1691,0.6732,0.3226,1,14,1
106972,0.0188,2.4673,2.6789,0.6981,0.4932,0,57,0
135757,0.0173,2.7993,2.8693,0.717,0.529,0,58,0
111214,0.0223,2.54,3.1625,0.6817,0.6671,1,57,0
135363,0.0182,2.4723,3.0368,0.66,0.4385,0,28,0
116716,0.0172,2.4684,2.7141,0.6581,0.5476,0,13,0
97274,0.0112,2.1936,1.8714,0.7035,0.4516,0,47,1
151118,0.019,2.7952,2.9272,0.7882,0.4759,0,24,0
115426,0.0146,2.3868,2.2439,0.6934,0.506,0,13,0
129046,0.0184,2.4425,3.0503,0.6634,0.4898,0,71,0
114821,0.0169,2.2487,2.4227,0.7126,0.583,0,71,0
133614,0.0136,2.4661,2.3803,0.7752,0.509,0,66,1
132482,0.0175,2.7256,2.659,0.76,0.4086,0,43,0
111223,0.0134,2.3756,2.0674,0.7471,0.3363,0,43,0
121275,0.0164,2.5369,2.2855,0.6961,0.4697,1,71,0
116932,0.0135,2.1171,2.5305,0.7239,0.5248,1,71,0
116932,0.0135,2.1171,2.5305,0.7239,0.5248,1,71,0
105430,0.0125,2.1796,2.3587,0.7207,0.3954,0,14,1
106398,0.0148,2.4487,2.4248,0.6787,0.3854,0,14,1
105927,0.0124,2.3596,2.4955,0.7588,0.3471,1,14,1
102884,0.012,2.2104,2.253,0.7295,0.4287,0,14,1
99716,0.0135,2.3482,2.354,0.6546,0.4075,1,14,1
102998,0.014,2.4294,2.2203,0.6831,0.411,0,14,1
136431,0.027,2.7053,3.9011,0.6552,0.6626,1,55,1
105145,0.0182,2.5558,2.528,0.6539,0.5735,1,55,1
119293,0.02,2.9284,3.0256,0.6948,0.5801,0,57,0
105896,0.0173,2.2577,3.0138,0.6983,0.5488,1,57,0
106148,0.0119,2.1192,2.0147,0.7147,0.5767,0,60,1
136170,0.0139,2.5904,2.3856,0.7714,0.4409,1,60,1
119977,0.0138,2.2413,2.47,0.7224,0.5183,0,60,1
98732,0.0114,2.0891,2.1159,0.6808,0.5902,0,66,1
104491,0.0121,2.4488,2.116,0.7038,0.4929,0,66,1
139391,0.0148,2.7421,2.5507,0.6761,0.5001,0,66,1
130581,0.0251,2.915,3.3224,0.6764,0.5833,1,37,0
132413,0.0247,2.8142,3.4706,0.6392,0.6228,0,37,0
111436,0.0188,2.4013,3.0544,0.7168,0.5476,0,37,0
121160,0.0172,2.5238,2.2835,0.6846,0.4688,1,58,0
105823,0.0125,2.273,2.3463,0.7169,0.4127,1,58,0
112271,0.0173,2.2561,2.4044,0.6876,0.4862,0,58,0
136425,0.0165,2.8122,2.5444,0.7618,0.4572,0,60,1
126854,0.0159,2.2743,2.5663,0.7003,0.5882,1,60,1
120443,0.0153,2.416,2.4307,0.685,0.5736,0,60,1
120443,0.0153,2.416,2.4307,0.685,0.5736,0,60,1
137667,0.0184,2.7819,2.9172,0.7263,0.5344,0,43,0
137947,0.021,2.4195,3.1754,0.6334,0.552,0,43,0
129456,0.0194,2.4222,2.8432,0.6829,0.6138,0,43,0
125618,0.0212,2.9861,3.2362,0.6918,0.556,0,57,0
122404,0.0222,2.7112,2.681,0.6946,0.519,0,57,0
137306,0.0199,2.5596,2.5298,0.6876,0.4926,1,20,0
111583,0.0149,2.3248,2.3717,0.6538,0.4611,0,20,0
137210,0.0171,2.5092,3.0223,0.7275,0.485,0,20,0
154563,0.0214,2.3986,3.3642,0.6551,0.5834,0,28,0
132569,0.0196,2.296,2.6354,0.6501,0.5673,0,28,0
141041,0.0184,2.4813,2.8888,0.7258,0.534,1,28,0
106378,0.0123,2.14,2.3624,0.7264,0.5183,1,34,1
104255,0.0119,2.2493,2.3698,0.6907,0.5672,0,34,1
109069,0.0117,2.3773,2.3614,0.7234,0.6147,0,34,1
98735,0.0115,2.2543,2.0948,0.7037,0.6125,1,34,1
